"job_title","job_link","job_type","job_category","posted","deadline","location","actual_job_title","company","job_status"
"Verification Officer job at Rwanda Demobilization And Reintegration Commission (RDRC)","https://www.greatrwandajobs.com/jobs/job-detail/job-Verification-Officer-job-at-Rwanda-Demobilization-And-Reintegration-Commission-RDRC-38621","Full-Time","Health/ Medicine","Posted: 29 Days Ago",2024-10-25,"Kigali","Verification Officer job at Rwanda Demobilization And Reintegration Commission (RDRC)","Rwanda Demobilization And Reintegration Commission (RDRC)","Inactive"
"Nurse / A1 job at Rwanda Demobilization And Reintegration Commission (RDRC)","https://www.greatrwandajobs.com/jobs/job-detail/job-Nurse-A1-job-at-Rwanda-Demobilization-And-Reintegration-Commission-RDRC-38624","Full-Time","Health/ Medicine","Posted: 29 Days Ago",2024-10-25,"Kigali","Nurse / A1 job at Rwanda Demobilization And Reintegration Commission (RDRC)","Rwanda Demobilization And Reintegration Commission (RDRC)","Inactive"
"Training Center Management Specialist job at National Institute Of Statistics Of Rwanda (NISR)","https://www.greatrwandajobs.com/jobs/job-detail/job-Training-Center-Management-Specialist-job-at-National-Institute-Of-Statistics-Of-Rwanda-NISR-38602","Full-Time","Management","Posted: 29 Days Ago",2024-10-25,"Kigali","Training Center Management Specialist job at National Institute Of Statistics Of Rwanda (NISR)","National Institute Of Statistics Of Rwanda (NISR)","Inactive"
"Public Relations and Communication Officer job at National Institute Of Statistics Of Rwanda (NISR)","https://www.greatrwandajobs.com/jobs/job-detail/job-Public-Relations-and-Communication-Officer-job-at-National-Institute-Of-Statistics-Of-Rwanda-NISR-38613","Full-Time","Communications/ Public Relations","Posted: 29 Days Ago",2024-10-25,"Kigali","Public Relations and Communication Officer job at National Institute Of Statistics Of Rwanda (NISR)","National Institute Of Statistics Of Rwanda (NISR)","Inactive"
"Legal Affairs Specialist job at Rwanda Agriculture And Animal Resources Developement Board (RAB)","https://www.greatrwandajobs.com/jobs/job-detail/job-Legal-Affairs-Specialist-job-at-Rwanda-Agriculture-And-Animal-Resources-Developement-Board-RAB-38603","Full-Time","Legal","Posted: 29 Days Ago",2024-10-25,"Kigali","Legal Affairs Specialist job at Rwanda Agriculture And Animal Resources Developement Board (RAB)","Rwanda Agriculture And Animal Resources Developement Board (RAB)","Inactive"
"Climate & Environmental Specialist job at Rwanda Agriculture And Animal Resources Developement Board (RAB)","https://www.greatrwandajobs.com/jobs/job-detail/job-Climate-Environmental-Specialist-job-at-Rwanda-Agriculture-And-Animal-Resources-Developement-Board-RAB-38604","Full-Time","Management","Posted: 29 Days Ago",2024-10-25,"Kigali","Climate & Environmental Specialist job at Rwanda Agriculture And Animal Resources Developement Board (RAB)","Rwanda Agriculture And Animal Resources Developement Board (RAB)","Inactive"
"Community Development, Gender and Youth Specialist job at Rwanda Agriculture And Animal Resources Developement Board (RAB)","https://www.greatrwandajobs.com/jobs/job-detail/job-Community-Development,-Gender-and-Youth-Specialist-job-at-Rwanda-Agriculture-And-Animal-Resources-Developement-Board-RAB-38605","Full-Time","Management","Posted: 29 Days Ago",2024-10-25,"Kigali","Community Development, Gender and Youth Specialist job at Rwanda Agriculture And Animal Resources Developement Board (RAB)","Rwanda Agriculture And Animal Resources Developement Board (RAB)","Inactive"
"Environmental Safeguards Officer job at Rwanda Agriculture And Animal Resources Developement Board (RAB)","https://www.greatrwandajobs.com/jobs/job-detail/job-Environmental-Safeguards-Officer-job-at-Rwanda-Agriculture-And-Animal-Resources-Developement-Board-RAB-38606","Full-Time","Management","Posted: 29 Days Ago",2024-10-25,"Kigali","Environmental Safeguards Officer job at Rwanda Agriculture And Animal Resources Developement Board (RAB)","Rwanda Agriculture And Animal Resources Developement Board (RAB)","Inactive"
"Irrigation Engineer job at Rwanda Agriculture And Animal Resources Developement Board (RAB)","https://www.greatrwandajobs.com/jobs/job-detail/job-Irrigation-Engineer-job-at-Rwanda-Agriculture-And-Animal-Resources-Developement-Board-RAB-38607","Full-Time","Management","Posted: 29 Days Ago",2024-10-25,"Kigali","Irrigation Engineer job at Rwanda Agriculture And Animal Resources Developement Board (RAB)","Rwanda Agriculture And Animal Resources Developement Board (RAB)","Inactive"
"District Agronomist and Community Development Officer job at Rwanda Agriculture And Animal Resources Developement Board (RAB)","https://www.greatrwandajobs.com/jobs/job-detail/job-District-Agronomist-and-Community-Development-Officer-job-at-Rwanda-Agriculture-And-Animal-Resources-Developement-Board-RAB-38608","Full-Time","Environment, Forestry and Agriculture","Posted: 29 Days Ago",2024-10-25,"Kigali","District Agronomist and Community Development Officer job at Rwanda Agriculture And Animal Resources Developement Board (RAB)","Rwanda Agriculture And Animal Resources Developement Board (RAB)","Inactive"
"Horticulture Officer job at Rwanda Agriculture And Animal Resources Developement Board (RAB)","https://www.greatrwandajobs.com/jobs/job-detail/job-Horticulture-Officer-job-at-Rwanda-Agriculture-And-Animal-Resources-Developement-Board-RAB-38609","Full-Time","Environment, Forestry and Agriculture","Posted: 29 Days Ago",2024-10-25,"Kigali","Horticulture Officer job at Rwanda Agriculture And Animal Resources Developement Board (RAB)","Rwanda Agriculture And Animal Resources Developement Board (RAB)","Inactive"
"Livestock District Officer job at Rwanda Agriculture And Animal Resources Developement Board (RAB)","https://www.greatrwandajobs.com/jobs/job-detail/job-Livestock-District-Officer-job-at-Rwanda-Agriculture-And-Animal-Resources-Developement-Board-RAB-38610","Full-Time","Environment, Forestry and Agriculture","Posted: 29 Days Ago",2024-10-25,"Kigali","Livestock District Officer job at Rwanda Agriculture And Animal Resources Developement Board (RAB)","Rwanda Agriculture And Animal Resources Developement Board (RAB)","Inactive"
"Animal Resources Insurance Specialist job at Rwanda Agriculture And Animal Resources Developement Board (RAB)","https://www.greatrwandajobs.com/jobs/job-detail/job-Animal-Resources-Insurance-Specialist-job-at-Rwanda-Agriculture-And-Animal-Resources-Developement-Board-RAB-38611","Full-Time","Environment, Forestry and Agriculture","Posted: 29 Days Ago",2024-10-25,"Kigali","Animal Resources Insurance Specialist job at Rwanda Agriculture And Animal Resources Developement Board (RAB)","Rwanda Agriculture And Animal Resources Developement Board (RAB)","Inactive"
"Claim Insurance Specialist job at Rwanda Agriculture And Animal Resources Developement Board (RAB)","https://www.greatrwandajobs.com/jobs/job-detail/job-Claim-Insurance-Specialist-job-at-Rwanda-Agriculture-And-Animal-Resources-Developement-Board-RAB-38612","Full-Time","Environment, Forestry and Agriculture","Posted: 29 Days Ago",2024-10-25,"Kigali","Claim Insurance Specialist job at Rwanda Agriculture And Animal Resources Developement Board (RAB)","Rwanda Agriculture And Animal Resources Developement Board (RAB)","Inactive"
"Medical Officer job at Central University Hospital Of Kigali ( CHUK)","https://www.greatrwandajobs.com/jobs/job-detail/job-Medical-Officer-job-at-Central-University-Hospital-Of-Kigali-CHUK-38614","Full-Time","Health/ Medicine","Posted: 29 Days Ago",2024-10-25,"Kigali","Medical Officer job at Central University Hospital Of Kigali ( CHUK)","Central University Hospital Of Kigali ( CHUK)","Inactive"
"Tender For: “conducting Comprehensive Clinical Mentorship Program on Emergency Obstetric, Neonatal and Child Health Care _ Rwa23004-10005” for Health Program tender at Enabel Rwanda","https://www.greatrwandajobs.com/jobs/job-detail/job-Tender-For:-“conducting-Comprehensive-Clinical-Mentorship-Program-on-Emergency-Obstetric,-Neonatal-and-Child-Health-Care-Rwa23004-10005”-for-Health-Program-tender-at-Enabel-Rwanda-38585","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Tender For: “conducting Comprehensive Clinical Mentorship Program on Emergency Obstetric, Neonatal and Child Health Care _ Rwa23004-10005” for Health Program tender at Enabel Rwanda","Enabel Rwanda","Inactive"
"Request for Expression of Interest (REOI) for the Vision City - Phase 2 Club House Retail Space Operationalization tender at Ultimate Developers Ltd (UDL) ","https://www.greatrwandajobs.com/jobs/job-detail/job-Request-for-Expression-of-Interest-REOI-for-the-Vision-City-Phase-2-Club-House-Retail-Space-Operationalization-tender-at-Ultimate-Developers-Ltd-UDL-38590","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Request for Expression of Interest (REOI) for the Vision City - Phase 2 Club House Retail Space Operationalization tender at Ultimate Developers Ltd (UDL) ","Ultimate Developers Ltd (UDL) ","Inactive"
"Tender for Supply of Safety and Tools Equipment at Energy Utility Corporation Limited (EUCL)","https://www.greatrwandajobs.com/jobs/job-detail/job-Tender-for-Supply-of-Safety-and-Tools-Equipment-at-Energy-Utility-Corporation-Limited-EUCL-38587","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Tender for Supply of Safety and Tools Equipment at Energy Utility Corporation Limited (EUCL)","Energy Utility Corporation Limited (EUCL)","Inactive"
"Tender for Supply of Three Phase Prepaid Smart Meters Under Framework Contract at Energy Utility Corporation Limited (eucl)","https://www.greatrwandajobs.com/jobs/job-detail/job-Tender-for-Supply-of-Three-Phase-Prepaid-Smart-Meters-Under-Framework-Contract-at-Energy-Utility-Corporation-Limited-eucl-38588","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Tender for Supply of Three Phase Prepaid Smart Meters Under Framework Contract at Energy Utility Corporation Limited (eucl)","Energy Utility Corporation Limited (eucl)","Inactive"
"Tender for Supply of Single Phase Prepaid Meters Under Framework Contract at Energy Utility Corporation Limited (eucl)","https://www.greatrwandajobs.com/jobs/job-detail/job-Tender-for-Supply-of-Single-Phase-Prepaid-Meters-Under-Framework-Contract-at-Energy-Utility-Corporation-Limited-eucl-38589","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Tender for Supply of Single Phase Prepaid Meters Under Framework Contract at Energy Utility Corporation Limited (eucl)","Energy Utility Corporation Limited (eucl)","Inactive"
"Tender for Supply, Install and Upgrade Pabx Server Tender at Energy Utility Corporation Limited (EUCL)","https://www.greatrwandajobs.com/jobs/job-detail/job-Tender-for-Supply,-Install-and-Upgrade-Pabx-Server-Tender-at-Energy-Utility-Corporation-Limited-EUCL-38598","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Tender for Supply, Install and Upgrade Pabx Server Tender at Energy Utility Corporation Limited (EUCL)","Energy Utility Corporation Limited (EUCL)","Inactive"
"Tender for Supply of Transformers for Eucl Under Framework Contract at Energy Utility Corporation Limited (EUCL)","https://www.greatrwandajobs.com/jobs/job-detail/job-Tender-for-Supply-of-Transformers-for-Eucl-Under-Framework-Contract-at-Energy-Utility-Corporation-Limited-EUCL-38599","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Tender for Supply of Transformers for Eucl Under Framework Contract at Energy Utility Corporation Limited (EUCL)","Energy Utility Corporation Limited (EUCL)","Inactive"
"Announcement for Auction of Movable Properties (bralirwa Vehicles) tender at Rwanda Court","https://www.greatrwandajobs.com/jobs/job-detail/job-Announcement-for-Auction-of-Movable-Properties-bralirwa-Vehicles-tender-at-Rwanda-Court-38586","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Announcement for Auction of Movable Properties (bralirwa Vehicles) tender at Rwanda Court","Rwanda Court","Inactive"
"Provision of Catering Services tender at Irembo","https://www.greatrwandajobs.com/jobs/job-detail/job-Provision-of-Catering-Services-tender-at-Irembo-38591","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Provision of Catering Services tender at Irembo","Irembo","Inactive"
" Framework contract for supply of laboratory reagents and consumables for EAC-RCE-VIHSCM new Master’s Program tender at University of Rwanda (UR)","https://www.greatrwandajobs.com/jobs/job-detail/job--Framework-contract-for-supply-of-laboratory-reagents-and-consumables-for-EAC-RCE-VIHSCM-new-Master’s-Program-tender-at-University-of-Rwanda-UR-38601","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali"," Framework contract for supply of laboratory reagents and consumables for EAC-RCE-VIHSCM new Master’s Program tender at University of Rwanda (UR)","University of Rwanda (UR)","Inactive"
"Wasac Branches Network Cabling (frame Work Contract) tender at WASAC","https://www.greatrwandajobs.com/jobs/job-detail/job-Wasac-Branches-Network-Cabling-frame-Work-Contract-tender-at-WASAC-38592","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Wasac Branches Network Cabling (frame Work Contract) tender at WASAC","WASAC","Inactive"
"Consultant Works for the Refurbishment at Ecobank Rwanda PLC Offices","https://www.greatrwandajobs.com/jobs/job-detail/job-Consultant-Works-for-the-Refurbishment-at-Ecobank-Rwanda-PLC-Offices-38593","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Consultant Works for the Refurbishment at Ecobank Rwanda PLC Offices","Ecobank Rwanda PLC Offices","Inactive"
"Supply and Installation of Office Furniture at Ecobank Rwanda PLC Refurbished Offices","https://www.greatrwandajobs.com/jobs/job-detail/job-Supply-and-Installation-of-Office-Furniture-at-Ecobank-Rwanda-PLC-Refurbished-Offices-38594","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Supply and Installation of Office Furniture at Ecobank Rwanda PLC Refurbished Offices","Ecobank Rwanda PLC Refurbished Offices","Inactive"
"Design, Supply, and Installation of low voltage and medium voltage lines and service connections in Huye, Nyamagabe and Nyaruguru districts tender at Energy Development Corporation Limited (EDCL)","https://www.greatrwandajobs.com/jobs/job-detail/job-Design,-Supply,-and-Installation-of-low-voltage-and-medium-voltage-lines-and-service-connections-in-Huye,-Nyamagabe-and-Nyaruguru-districts-tender-at-Energy-Development-Corporation-Limited-EDCL-38597","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Design, Supply, and Installation of low voltage and medium voltage lines and service connections in Huye, Nyamagabe and Nyaruguru districts tender at Energy Development Corporation Limited (EDCL)","Energy Development Corporation Limited (EDCL)","Inactive"
"Tax Expert to Support Rwanda Finance Limited in the Development of the Kigali International Financial Centre (KIFC) tender at Rwanda Finance Ltd","https://www.greatrwandajobs.com/jobs/job-detail/job-Tax-Expert-to-Support-Rwanda-Finance-Limited-in-the-Development-of-the-Kigali-International-Financial-Centre-KIFC-tender-at-Rwanda-Finance-Ltd-38595","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Tax Expert to Support Rwanda Finance Limited in the Development of the Kigali International Financial Centre (KIFC) tender at Rwanda Finance Ltd","Rwanda Finance Ltd","Inactive"
"Fund Expert - Support to Rwanda Finance Limited in the Development of the Kigali International Financial Centre (KIFC tender at Rwanda Finance Ltd","https://www.greatrwandajobs.com/jobs/job-detail/job-Fund-Expert-Support-to-Rwanda-Finance-Limited-in-the-Development-of-the-Kigali-International-Financial-Centre-KIFC-tender-at-Rwanda-Finance-Ltd-38596","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Fund Expert - Support to Rwanda Finance Limited in the Development of the Kigali International Financial Centre (KIFC tender at Rwanda Finance Ltd","Rwanda Finance Ltd","Inactive"
"Supply of Promotion Materials tender at Irembo Ltd","https://www.greatrwandajobs.com/jobs/job-detail/job-Supply-of-Promotion-Materials-tender-at-Irembo-Ltd-38600","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Supply of Promotion Materials tender at Irembo Ltd","Irembo Ltd","Inactive"
"Tender Notice for Conducting Comprehensive Clinical Mentorship Program on Emergency Obstetric, Neonatal and Child Health Care _ Rwa23004-10005” for Health Program tender at Enabel","https://www.greatrwandajobs.com/jobs/job-detail/job-Tender-Notice-for-Conducting-Comprehensive-Clinical-Mentorship-Program-on-Emergency-Obstetric,-Neonatal-and-Child-Health-Care-Rwa23004-10005”-for-Health-Program-tender-at-Enabel-38544","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Tender Notice for Conducting Comprehensive Clinical Mentorship Program on Emergency Obstetric, Neonatal and Child Health Care _ Rwa23004-10005” for Health Program tender at Enabel","Enabel","Inactive"
"Tender Notice for Printing of Training Materials (Guide and Attendance) tender at FHI 360","https://www.greatrwandajobs.com/jobs/job-detail/job-Tender-Notice-for-Printing-of-Training-Materials-Guide-and-Attendance-tender-at-FHI-360-38547","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Tender Notice for Printing of Training Materials (Guide and Attendance) tender at FHI 360","FHI 360","Inactive"
"Tender Notice for the Supply and Distribution of Training Refreshments (Juice, Water and Milk) tender at FHI 360","https://www.greatrwandajobs.com/jobs/job-detail/job-Tender-Notice-for-the-Supply-and-Distribution-of-Training-Refreshments-Juice,-Water-and-Milk-tender-at-FHI-360-38548","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Tender Notice for the Supply and Distribution of Training Refreshments (Juice, Water and Milk) tender at FHI 360","FHI 360","Inactive"
"Provision of Legal Services tender at International Alert","https://www.greatrwandajobs.com/jobs/job-detail/job-Provision-of-Legal-Services-tender-at-International-Alert-38558","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Provision of Legal Services tender at International Alert","International Alert","Inactive"
"Provision of Audit, Tax and Financial Advisory Services tender at International Alert","https://www.greatrwandajobs.com/jobs/job-detail/job-Provision-of-Audit,-Tax-and-Financial-Advisory-Services-tender-at-International-Alert-38559","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Provision of Audit, Tax and Financial Advisory Services tender at International Alert","International Alert","Inactive"
"Provision of Vehicles Tracking System tender at International Alert","https://www.greatrwandajobs.com/jobs/job-detail/job-Provision-of-Vehicles-Tracking-System-tender-at-International-Alert-38560","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Provision of Vehicles Tracking System tender at International Alert","International Alert","Inactive"
"Provision for Vehicle Car Wash tender at International Alert","https://www.greatrwandajobs.com/jobs/job-detail/job-Provision-for-Vehicle-Car-Wash-tender-at-International-Alert-38561","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Provision for Vehicle Car Wash tender at International Alert","International Alert","Inactive"
"Supply and Maintenance of Fire Extinguishers tender at International Alert","https://www.greatrwandajobs.com/jobs/job-detail/job-Supply-and-Maintenance-of-Fire-Extinguishers-tender-at-International-Alert-38562","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Supply and Maintenance of Fire Extinguishers tender at International Alert","International Alert","Inactive"
"Provision of Vehicles and Motorcycles Insurance tender at International Alert","https://www.greatrwandajobs.com/jobs/job-detail/job-Provision-of-Vehicles-and-Motorcycles-Insurance-tender-at-International-Alert-38563","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Provision of Vehicles and Motorcycles Insurance tender at International Alert","International Alert","Inactive"
"Interpretation and Translation Services tender at International Alert","https://www.greatrwandajobs.com/jobs/job-detail/job-Interpretation-and-Translation-Services-tender-at-International-Alert-38564","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Interpretation and Translation Services tender at International Alert","International Alert","Inactive"
"Provision of Office Extensions, Partitioning, Interior Creative Designs, Electrical Repairs, and Plumbing Services tender at International Alert","https://www.greatrwandajobs.com/jobs/job-detail/job-Provision-of-Office-Extensions,-Partitioning,-Interior-Creative-Designs,-Electrical-Repairs,-and-Plumbing-Services-tender-at-International-Alert-38565","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Provision of Office Extensions, Partitioning, Interior Creative Designs, Electrical Repairs, and Plumbing Services tender at International Alert","International Alert","Inactive"
"Provision of Events Organizing and Management tender at International Alert","https://www.greatrwandajobs.com/jobs/job-detail/job-Provision-of-Events-Organizing-and-Management-tender-at-International-Alert-38566","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Provision of Events Organizing and Management tender at International Alert","International Alert","Inactive"
"Provision of Sound System and Tents Services in All Districts tender at International Alert","https://www.greatrwandajobs.com/jobs/job-detail/job-Provision-of-Sound-System-and-Tents-Services-in-All-Districts-tender-at-International-Alert-38567","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Provision of Sound System and Tents Services in All Districts tender at International Alert","International Alert","Inactive"
"Provision of Transportation/car Rental Services Within Rwanda tender at International Alert","https://www.greatrwandajobs.com/jobs/job-detail/job-Provision-of-Transportationcar-Rental-Services-Within-Rwanda-tender-at-International-Alert-38568","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Provision of Transportation/car Rental Services Within Rwanda tender at International Alert","International Alert","Inactive"
"Provision of Film and Short Video Production and Photography Services tender at International Alert","https://www.greatrwandajobs.com/jobs/job-detail/job-Provision-of-Film-and-Short-Video-Production-and-Photography-Services-tender-at-International-Alert-38569","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Provision of Film and Short Video Production and Photography Services tender at International Alert","International Alert","Inactive"
"Provision of Hotels (Accommodation and Meetings) Services/all Districts tender at International Alert","https://www.greatrwandajobs.com/jobs/job-detail/job-Provision-of-Hotels-Accommodation-and-Meetings-Servicesall-Districts-tender-at-International-Alert-38570","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Provision of Hotels (Accommodation and Meetings) Services/all Districts tender at International Alert","International Alert","Inactive"
"Provision of Security Services tender at International Alert","https://www.greatrwandajobs.com/jobs/job-detail/job-Provision-of-Security-Services-tender-at-International-Alert-38571","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Provision of Security Services tender at International Alert","International Alert","Inactive"
"Provision of Fuel and Lubricant tender at International Alert","https://www.greatrwandajobs.com/jobs/job-detail/job-Provision-of-Fuel-and-Lubricant-tender-at-International-Alert-38572","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Provision of Fuel and Lubricant tender at International Alert","International Alert","Inactive"
"Provision of Medical Insurance tender at International Alert","https://www.greatrwandajobs.com/jobs/job-detail/job-Provision-of-Medical-Insurance-tender-at-International-Alert-38573","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Provision of Medical Insurance tender at International Alert","International Alert","Inactive"
"Provision of Advertising Services Through Online Platforms tender at International Alert","https://www.greatrwandajobs.com/jobs/job-detail/job-Provision-of-Advertising-Services-Through-Online-Platforms-tender-at-International-Alert-38574","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Provision of Advertising Services Through Online Platforms tender at International Alert","International Alert","Inactive"
"Supply of Internet Services and Connectivity Solutions tender at International Alert","https://www.greatrwandajobs.com/jobs/job-detail/job-Supply-of-Internet-Services-and-Connectivity-Solutions-tender-at-International-Alert-38575","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Supply of Internet Services and Connectivity Solutions tender at International Alert","International Alert","Inactive"
"Provision of Travel Agency Services (Air Ticketing) tender at International Alert","https://www.greatrwandajobs.com/jobs/job-detail/job-Provision-of-Travel-Agency-Services-Air-Ticketing-tender-at-International-Alert-38576","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Provision of Travel Agency Services (Air Ticketing) tender at International Alert","International Alert","Inactive"
"Provision of Customs Clearing and Forwarding Services tender at International Alert","https://www.greatrwandajobs.com/jobs/job-detail/job-Provision-of-Customs-Clearing-and-Forwarding-Services-tender-at-International-Alert-38577","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Provision of Customs Clearing and Forwarding Services tender at International Alert","International Alert","Inactive"
"Supply of Vehicle Tires, Carpet, Seat Covers and Spare Parts tender at International Alert","https://www.greatrwandajobs.com/jobs/job-detail/job-Supply-of-Vehicle-Tires,-Carpet,-Seat-Covers-and-Spare-Parts-tender-at-International-Alert-38578","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Supply of Vehicle Tires, Carpet, Seat Covers and Spare Parts tender at International Alert","International Alert","Inactive"
"Provision of Maintenance and Repair of Vehicles Services tender at International Alert","https://www.greatrwandajobs.com/jobs/job-detail/job-Provision-of-Maintenance-and-Repair-of-Vehicles-Services-tender-at-International-Alert-38579","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Provision of Maintenance and Repair of Vehicles Services tender at International Alert","International Alert","Inactive"
"Supply of Office Furniture & Fittings, Office Working Stations tender at International Alert","https://www.greatrwandajobs.com/jobs/job-detail/job-Supply-of-Office-Furniture-Fittings,-Office-Working-Stations-tender-at-International-Alert-38580","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Supply of Office Furniture & Fittings, Office Working Stations tender at International Alert","International Alert","Inactive"
"Supply of Office Consumables, Kitchen Materials and Cleaning Supplies tender at International Alert","https://www.greatrwandajobs.com/jobs/job-detail/job-Supply-of-Office-Consumables,-Kitchen-Materials-and-Cleaning-Supplies-tender-at-International-Alert-38581","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Supply of Office Consumables, Kitchen Materials and Cleaning Supplies tender at International Alert","International Alert","Inactive"
"Supply of ICT Equipment, Accessories, and Maintenance tender at International Alert","https://www.greatrwandajobs.com/jobs/job-detail/job-Supply-of-ICT-Equipment,-Accessories,-and-Maintenance-tender-at-International-Alert-38582","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Supply of ICT Equipment, Accessories, and Maintenance tender at International Alert","International Alert","Inactive"
"Supply of Office Stationery and Cartridge tender at International Alert","https://www.greatrwandajobs.com/jobs/job-detail/job-Supply-of-Office-Stationery-and-Cartridge-tender-at-International-Alert-38583","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Supply of Office Stationery and Cartridge tender at International Alert","International Alert","Inactive"
"Provision of Printing and Branding Services (General Printing, Photocopying, Binding Services; Designing Services and Supply of Promotional Materials) tender at International Alert","https://www.greatrwandajobs.com/jobs/job-detail/job-Provision-of-Printing-and-Branding-Services-General-Printing,-Photocopying,-Binding-Services;-Designing-Services-and-Supply-of-Promotional-Materials-tender-at-International-Alert-38584","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Provision of Printing and Branding Services (General Printing, Photocopying, Binding Services; Designing Services and Supply of Promotional Materials) tender at International Alert","International Alert","Inactive"
"Tender Notice for Solicitation for Medical Insurance and Group Life Insurance Companies tender at Cultivating New Frontiers in Agriculture (CNFA)","https://www.greatrwandajobs.com/jobs/job-detail/job-Tender-Notice-for-Solicitation-for-Medical-Insurance-and-Group-Life-Insurance-Companies-tender-at-Cultivating-New-Frontiers-in-Agriculture-CNFA-38542","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Tender Notice for Solicitation for Medical Insurance and Group Life Insurance Companies tender at Cultivating New Frontiers in Agriculture (CNFA)","Cultivating New Frontiers in Agriculture (CNFA)","Inactive"
"Terms of Reference for APW With Non-individual Development of the Rwanda Health Observatory (R-HO) Platform tender at WHO Country Office for Rwanda","https://www.greatrwandajobs.com/jobs/job-detail/job-Terms-of-Reference-for-APW-With-Non-individual-Development-of-the-Rwanda-Health-Observatory-R-HO-Platform-tender-at-WHO-Country-Office-for-Rwanda-38545","Full-Time","Tenders in Rwanda","Posted: 29 Days Ago",2024-10-25,"Kigali","Terms of Reference for APW With Non-individual Development of the Rwanda Health Observatory (R-HO) Platform tender at WHO Country Office for Rwanda","WHO Country Office for Rwanda","Inactive"
